wordform_id,wordform,lemma_id,pos,cefr,english_gloss,tense,person,number,gender
wf_93d80bd3a9,stanno,lem_519baae195,verb_form,A1,to stay / to be (state),present,loro,,
wf_35d5c87372,stavo,lem_519baae195,verb_form,A1,to stay / to be (state),imperfect,io,,
wf_81de252dc8,stavi,lem_519baae195,verb_form,A1,to stay / to be (state),imperfect,tu,,
wf_c2a3e05b6b,stava,lem_519baae195,verb_form,A1,to stay / to be (state),imperfect,lui/lei,,
wf_08a36af7f6,stavamo,lem_519baae195,verb_form,A1,to stay / to be (state),imperfect,noi,,
wf_711f9d1206,stavate,lem_519baae195,verb_form,A1,to stay / to be (state),imperfect,voi,,
wf_73c32d3549,stavano,lem_519baae195,verb_form,A1,to stay / to be (state),imperfect,loro,,
wf_0dffecd6e4,stato,lem_519baae195,verb_form,A1,to stay / to be (state),past_participle,nan,,
wf_9d5d4df089,stando,lem_519baae195,verb_form,A1,to stay / to be (state),gerund,nan,,
wf_b676462ce0,starò,lem_519baae195,verb_form,A1,to stay / to be (state),future,io,,
wf_c87768ce1d,starai,lem_519baae195,verb_form,A1,to stay / to be (state),future,tu,,
wf_58d715c146,starà,lem_519baae195,verb_form,A1,to stay / to be (state),future,lui/lei,,
wf_2b37ca8b9b,staremo,lem_519baae195,verb_form,A1,to stay / to be (state),future,noi,,
wf_50ed9cfb22,starete,lem_519baae195,verb_form,A1,to stay / to be (state),future,voi,,
wf_0c35b0f67d,staranno,lem_519baae195,verb_form,A1,to stay / to be (state),future,loro,,
wf_34b605980f,starei,lem_519baae195,verb_form,A1,to stay / to be (state),conditional,io,,
wf_cff7e41a5c,staresti,lem_519baae195,verb_form,A1,to stay / to be (state),conditional,tu,,
wf_a6e2abfffd,starebbe,lem_519baae195,verb_form,A1,to stay / to be (state),conditional,lui/lei,,
wf_832f9b13a1,staremmo,lem_519baae195,verb_form,A1,to stay / to be (state),conditional,noi,,
wf_7b1221d175,stareste,lem_519baae195,verb_form,A1,to stay / to be (state),conditional,voi,,
wf_0e081e4f02,starebbero,lem_519baae195,verb_form,A1,to stay / to be (state),conditional,loro,,
wf_3400bcd349,potere,lem_570f3dcd54,verb_form,A1,can / to be able to,infinitive,nan,,
wf_5de9a2f1a3,posso,lem_570f3dcd54,verb_form,A1,can / to be able to,present,io,,
wf_77f164b1b9,puoi,lem_570f3dcd54,verb_form,A1,can / to be able to,present,tu,,
wf_55c9f88dd5,può,lem_570f3dcd54,verb_form,A1,can / to be able to,present,lui/lei,,
wf_6da846a707,possiamo,lem_570f3dcd54,verb_form,A1,can / to be able to,present,noi,,
wf_a54d8825ce,potete,lem_570f3dcd54,verb_form,A1,can / to be able to,present,voi,,
wf_ef83bb4776,possono,lem_570f3dcd54,verb_form,A1,can / to be able to,present,loro,,
wf_2b1120623b,potevo,lem_570f3dcd54,verb_form,A1,can / to be able to,imperfect,io,,
wf_ff936e55e8,potevi,lem_570f3dcd54,verb_form,A1,can / to be able to,imperfect,tu,,
wf_2574768038,poteva,lem_570f3dcd54,verb_form,A1,can / to be able to,imperfect,lui/lei,,
wf_5de38ab153,potevamo,lem_570f3dcd54,verb_form,A1,can / to be able to,imperfect,noi,,
wf_d21ba42a5e,potevate,lem_570f3dcd54,verb_form,A1,can / to be able to,imperfect,voi,,
wf_3d8d25f4ed,potevano,lem_570f3dcd54,verb_form,A1,can / to be able to,imperfect,loro,,
wf_25b7eae355,potuto,lem_570f3dcd54,verb_form,A1,can / to be able to,past_participle,nan,,
wf_e9a8b4f443,potendo,lem_570f3dcd54,verb_form,A1,can / to be able to,gerund,nan,,
wf_cbeac4d018,potrò,lem_570f3dcd54,verb_form,A1,can / to be able to,future,io,,
wf_388cce8d4e,potrai,lem_570f3dcd54,verb_form,A1,can / to be able to,future,tu,,
wf_afc84649ce,potrà,lem_570f3dcd54,verb_form,A1,can / to be able to,future,lui/lei,,
wf_b5738f901b,potremo,lem_570f3dcd54,verb_form,A1,can / to be able to,future,noi,,
wf_ab8195b635,potrete,lem_570f3dcd54,verb_form,A1,can / to be able to,future,voi,,
wf_6100d9ea7c,potranno,lem_570f3dcd54,verb_form,A1,can / to be able to,future,loro,,
wf_0bb07bb674,potrei,lem_570f3dcd54,verb_form,A1,can / to be able to,conditional,io,,
wf_7883e6c621,potresti,lem_570f3dcd54,verb_form,A1,can / to be able to,conditional,tu,,
wf_06a395d81e,potrebbe,lem_570f3dcd54,verb_form,A1,can / to be able to,conditional,lui/lei,,
wf_af1c5485c2,potremmo,lem_570f3dcd54,verb_form,A1,can / to be able to,conditional,noi,,
wf_4ad93f34d4,potreste,lem_570f3dcd54,verb_form,A1,can / to be able to,conditional,voi,,
wf_c2b4df15b5,potrebbero,lem_570f3dcd54,verb_form,A1,can / to be able to,conditional,loro,,
wf_56883ea5e5,volere,lem_6286273c65,verb_form,A1,to want,infinitive,nan,,
wf_b6aaec9d35,voglio,lem_6286273c65,verb_form,A1,to want,present,io,,
wf_df1eca1ac6,vuoi,lem_6286273c65,verb_form,A1,to want,present,tu,,
wf_5672ca42c5,vuole,lem_6286273c65,verb_form,A1,to want,present,lui/lei,,
wf_71bbd8c5aa,vogliamo,lem_6286273c65,verb_form,A1,to want,present,noi,,
wf_5b37677832,volete,lem_6286273c65,verb_form,A1,to want,present,voi,,
wf_2189a3d026,vogliono,lem_6286273c65,verb_form,A1,to want,present,loro,,
wf_15749e6c0a,volevo,lem_6286273c65,verb_form,A1,to want,imperfect,io,,
wf_890d0521bf,volevi,lem_6286273c65,verb_form,A1,to want,imperfect,tu,,
wf_5992c17b80,voleva,lem_6286273c65,verb_form,A1,to want,imperfect,lui/lei,,
wf_3409237d17,volevamo,lem_6286273c65,verb_form,A1,to want,imperfect,noi,,
wf_c8ab8bea34,volevate,lem_6286273c65,verb_form,A1,to want,imperfect,voi,,
wf_6b8c2ce55d,volevano,lem_6286273c65,verb_form,A1,to want,imperfect,loro,,
wf_3efd67012f,voluto,lem_6286273c65,verb_form,A1,to want,past_participle,nan,,
wf_f3f593f541,volendo,lem_6286273c65,verb_form,A1,to want,gerund,nan,,
